Country,Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,Deaths_100_Cases,Recovered_100_Cases,Deaths_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,WHO_Region
Congo (Kinshasa),8844.0,208.0,5700.0,2936.0,13.0,4.0,2.35,64.45,3.6491228070175437,8443.0,401.0,4.75,Africa
Costa Rica,15841.0,115.0,3824.0,11902.0,612.0,11.0,0.73,24.14,3.0073221757322175,,4307.0,37.34,Americas
France,15655.0,96.0,10361.0,5198.0,59.0,0.0,0.61,66.18,0.9265514911688061,14312.0,1343.0,9.38,Africa
Croatia,4881.0,139.0,6920.0,-2178.0,24.0,3.0,2.85,80.64,2.008670520231214,4370.0,511.0,11.69,Europe
Cuba,2532.0,87.0,2351.0,94.0,37.0,0.0,3.44,92.85,3.7005529561888557,2446.0,86.0,3.52,Americas
Cyprus,0.0,19.0,0.0,-19.0,3.0,0.0,1.79,,0.0,1038.0,22.0,2.12,
Czechia,15516.0,373.0,11428.0,3715.0,192.0,2.0,2.4,73.65,3.263913195659783,14098.0,1418.0,10.06,Europe
Denmark,13761.0,613.0,12605.0,543.0,109.0,0.0,4.45,91.6,4.863149543831813,13453.0,308.0,2.29,Europe
Djibouti,5059.0,58.0,4977.0,24.0,9.0,0.0,1.15,98.38,1.165360659031545,5020.0,39.0,0.78,Eastern Mediterranean
Dominica,18.0,0.0,18.0,0.0,,0.0,,100.0,0.0,18.0,0.0,0.0,Americas
Dominican Republic,64156.0,1083.0,3364.5,59708.5,1248.0,20.0,1.69,47.08,32.18903254569773,53956.0,10200.0,18.9,Americas
Ecuador,81161.0,5532.0,34896.0,40733.0,467.0,17.0,6.82,63.12,15.852819807427784,74620.0,6541.0,8.77,Americas
Egypt,92482.0,4652.0,34838.0,52992.0,420.0,46.0,5.03,37.67,13.353234973305012,,4080.0,,Eastern Mediterranean
El Salvador,15035.0,408.0,7778.0,6849.0,405.0,8.0,2.71,51.73,5.245564412445359,12207.0,2828.0,23.17,Americas
Equatorial Guinea,3071.0,51.0,842.0,2178.0,0.0,0.0,1.66,27.42,6.0570071258907365,3071.0,0.0,0.0,Africa
Eritrea,265.0,0.0,191.0,74.0,2.0,0.0,0.0,72.08,0.0,251.0,14.0,,Africa
Estonia,2034.0,69.0,1923.0,42.0,0.0,0.0,3.39,94.54,3.58814352574103,2021.0,13.0,0.64,Europe
Eswatini,2328.0,34.0,1025.0,1269.0,109.0,2.0,1.47,44.26,3.3170731707317076,1826.0,490.0,26.83,Africa
Ethiopia,2328.0,228.0,6386.0,-4286.0,579.0,5.0,1.57,43.9,3.5703100532414656,10207.0,4340.0,42.52,Africa
Fiji,27.0,0.0,18.0,9.0,0.0,0.0,0.0,66.67,0.0,27.0,0.0,0.0,Western Pacific
Finland,7398.0,329.0,6920.0,149.0,5.0,0.0,4.45,93.54,4.754335260115607,7340.0,58.0,0.79,Europe
,220352.0,30212.0,81212.0,108928.0,2551.0,17.0,13.71,36.86,37.201398808057924,214023.0,6329.0,2.96,Europe
Gabon,7189.0,49.0,4682.0,2458.0,205.0,0.0,0.68,65.13,1.046561298590346,6433.0,756.0,11.75,Africa
Gambia,0.0,8.0,0.0,-8.0,49.0,2.0,2.45,,0.0,112.0,214.0,191.07,
Georgia,1137.0,16.0,922.0,199.0,6.0,0.0,1.41,81.09,1.735357917570499,1039.0,98.0,9.43,Europe
Germany,207112.0,9125.0,190314.0,7673.0,445.0,1.0,4.41,91.89,4.794707693601101,203325.0,3787.0,1.86,Europe
Ghana,33624.0,168.0,29801.0,3655.0,655.0,0.0,0.5,88.63,0.5637394718298044,28430.0,5194.0,18.27,Africa
